designer,season,num_looks,silhouette_slim,silhouette_oversized,silhouette_structured,silhouette_draped,fabric_heavy,fabric_light,fabric_leather,fabric_denim,fabric_knit,fabric_cotton,layering_heavy,layering_minimal,color_black,color_white,color_earth_tones,color_bright,color_muted,color_plaid,distressed,patchwork,raw_edges,deconstructed,graphic_print,floral_print,abstract_print,no_print,military,punk_grunge,tailored_formal,streetwear_casual,gothic_dark
comme-des-garcons-homme-plus,spring-2019-menswear,39,0.16858599,0.22299688,0.22124274,0.19235376,0.14595656,0.17733514,0.16475403,0.15728202,0.1731554,0.18837513,0.22892621,0.19691983,0.15530862,0.13412148,0.11376385,0.19397198,0.16101043,0.18829188,0.15999347,0.21426907,0.22030555,0.24892218,0.20149821,0.22743276,0.21297961,0.20136295,0.18305564,0.15029424,0.1920747,0.1923698,0.07932937
comme-des-garcons-homme-plus,spring-2020-menswear,39,0.17426828,0.22688495,0.23219459,0.20218381,0.19235437,0.18759342,0.2130102,0.17456678,0.17898478,0.19599897,0.24409328,0.2015785,0.2168666,0.143329,0.14354792,0.15842333,0.19658734,0.19632927,0.19315518,0.22188476,0.23478398,0.26222235,0.19789279,0.2184095,0.2145504,0.20269516,0.20751365,0.19403267,0.20324771,0.19643198,0.16563399
comme-des-garcons-homme-plus,spring-2021-menswear,29,0.20629464,0.2090887,0.27576363,0.20893365,0.1930457,0.21143593,0.22713344,0.18254715,0.17155622,0.21613392,0.23651192,0.23481476,0.17822058,0.19791543,0.15474276,0.19216818,0.2286374,0.19117066,0.1959066,0.22130871,0.25298747,0.28550714,0.21264765,0.19948694,0.23085977,0.24074638,0.19239913,0.19924851,0.24237984,0.2218067,0.13895437
comme-des-garcons-homme-plus,spring-2022-menswear,35,0.19496453,0.25061753,0.24421902,0.22219665,0.217353,0.2127758,0.22334702,0.19951455,0.20442289,0.22935022,0.24963357,0.23269258,0.19164802,0.18011086,0.16930111,0.26044446,0.23248057,0.20976102,0.21418512,0.26021025,0.25564733,0.27394906,0.24379589,0.26222816,0.27411005,0.22517936,0.22021827,0.23218934,0.20422256,0.22863464,0.15956649
comme-des-garcons-homme-plus,spring-2023-menswear,34,0.19056045,0.24698156,0.25843874,0.21980499,0.16985676,0.20256218,0.18554267,0.19346787,0.17901583,0.22199547,0.25678104,0.22389258,0.1893258,0.19379579,0.14533454,0.17972589,0.20681426,0.19019501,0.19460344,0.22864851,0.25888896,0.2907306,0.21647625,0.20459282,0.22299422,0.22638589,0.20851813,0.17254269,0.22312799,0.22372149,0.11902043
comme-des-garcons-homme-plus,spring-2024-menswear,35,0.17968659,0.24646042,0.25117686,0.20266487,0.18200381,0.19604133,0.19510774,0.17382418,0.17073175,0.21830876,0.24518283,0.22502454,0.18307745,0.1401619,0.18251467,0.17434669,0.20905282,0.17700341,0.19040816,0.21447963,0.26491058,0.2822835,0.19794641,0.20909086,0.21775183,0.22822584,0.22847387,0.17268793,0.1979975,0.218198,0.10536984
comme-des-garcons-homme-plus,spring-2025-menswear,41,0.16745055,0.22856958,0.2444138,0.21806343,0.17849843,0.19982898,0.185916,0.1558363,0.16566262,0.19969298,0.25754836,0.21619885,0.20394623,0.14935926,0.12192463,0.15705681,0.16367516,0.17785463,0.18115886,0.21370564,0.24450862,0.2691373,0.19290668,0.1971864,0.20631735,0.20701018,0.18082707,0.15901856,0.20592645,0.17897344,0.12980755
comme-des-garcons-homme-plus,spring-2026-menswear,37,0.18724787,0.24316809,0.250179,0.22648607,0.20026514,0.1956884,0.20890537,0.17775334,0.18586783,0.21093659,0.2672551,0.21422572,0.20795989,0.18371889,0.14285798,0.1805243,0.18219864,0.1899055,0.17752561,0.22017443,0.24426574,0.27283925,0.21444821,0.21144837,0.21292141,0.21749434,0.20253134,0.17837678,0.21528593,0.20849757,0.13618045
number-n-ine,fall-2007-menswear,35,0.21189748,0.22863095,0.23117559,0.20015863,0.23231868,0.17589155,0.21743745,0.20483103,0.19529098,0.19582292,0.24686494,0.212042,0.24398278,0.16205265,0.14078368,0.13651359,0.1813281,0.217724,0.19460341,0.19784085,0.23348933,0.27008262,0.2023887,0.18320107,0.17587712,0.22147587,0.19173403,0.19896579,0.19569238,0.21911786,0.15709649
number-n-ine,fall-2008-menswear,40,0.20359571,0.23873699,0.22275364,0.1683184,0.23087773,0.17170064,0.21068037,0.20042893,0.18293051,0.21080534,0.24347866,0.21624032,0.14160079,0.16636536,0.23116603,0.1930534,0.20339909,0.20784923,0.18102333,0.20489028,0.2388076,0.25294077,0.18933578,0.19004063,0.17847891,0.224207,0.22287512,0.18675494,0.19521454,0.2306048,0.11104717
number-n-ine,spring-2007-menswear,30,0.19900408,0.21659856,0.21490602,0.18566926,0.2019649,0.19170856,0.22217035,0.21807136,0.18131901,0.20923766,0.22694774,0.20958687,0.19169253,0.15139581,0.21957646,0.12712927,0.22509295,0.20881622,0.19587845,0.20088461,0.2232627,0.25524536,0.16429521,0.18352614,0.16612259,0.2183647,0.2248053,0.226355,0.19219576,0.22105722,0.18146278
number-n-ine,spring-2008-menswear,37,0.2046092,0.2544617,0.24234712,0.20531091,0.19900432,0.20363775,0.20117696,0.19220945,0.19702111,0.20702776,0.24371019,0.2230753,0.23963034,0.15841591,0.17717612,0.11898157,0.20962653,0.18515567,0.18795905,0.19267796,0.24321476,0.28070715,0.17799881,0.17423438,0.16762327,0.2335726,0.22611049,0.18551758,0.20456271,0.22065462,0.15933272
number-n-ine,spring-2009-menswear,35,0.21026003,0.23695351,0.23754777,0.21622625,0.1872457,0.20539533,0.20496128,0.19912434,0.1859647,0.20555311,0.2503468,0.21107543,0.16503821,0.17847359,0.19480965,0.17631915,0.20243295,0.19566815,0.1879403,0.22497302,0.22989126,0.25722057,0.19874294,0.21147287,0.1999476,0.21641634,0.23487909,0.18540338,0.20288493,0.20254765,0.17994583
sacai,fall-2013-menswear,23,0.1953177,0.20642287,0.19990274,0.14574103,0.2134229,0.16128047,0.15877108,0.18840407,0.18577352,0.2100946,0.2318223,0.22838005,0.15746284,0.1069731,0.17866538,0.17000426,0.20706628,0.2188089,0.17032044,0.20574905,0.22087494,0.22195621,0.17159247,0.16759218,0.17285421,0.2423011,0.17689674,0.20419052,0.19978699,0.22405289,0.13062012
sacai,fall-2014-menswear,26,0.18885693,0.19920723,0.21145853,0.15423717,0.20839573,0.15745895,0.16711211,0.18300468,0.1881403,0.19110265,0.23583971,0.22394067,0.17270869,0.115944356,0.14650361,0.15615848,0.19006944,0.20164363,0.15554579,0.20318963,0.20419218,0.21566616,0.17243797,0.16468908,0.16336499,0.2233809,0.16462936,0.18367018,0.18220203,0.21962824,0.13336584
sacai,fall-2015-menswear,27,0.1833759,0.20765255,0.23077327,0.17512162,0.22738972,0.16550572,0.1888319,0.17700157,0.18857723,0.18480977,0.23702471,0.20889717,0.2264101,0.14011078,0.14087747,0.12474914,0.20663576,0.18412004,0.1489155,0.17830113,0.21681423,0.23562187,0.17753255,0.15137614,0.15320958,0.21993026,0.18600819,0.16806751,0.1915893,0.20372497,0.13155393
sacai,fall-2016-menswear,40,0.18743026,0.20092368,0.21145773,0.15667886,0.19667564,0.14816998,0.1688843,0.15806751,0.16597423,0.1731371,0.21740785,0.2004188,0.17881677,0.11161627,0.15037186,0.14619967,0.16671203,0.20170164,0.13531373,0.17851618,0.19620517,0.21289077,0.1615139,0.15773334,0.1586723,0.19178393,0.197424,0.15826774,0.18125543,0.19167796,0.13980234
sacai,fall-2017-menswear,48,0.1666272,0.2348653,0.20318018,0.16307552,0.21052925,0.15126671,0.17637813,0.16604106,0.15986429,0.179587,0.23163837,0.21254648,0.17743589,0.104169406,0.1747787,0.15344697,0.18721144,0.18329616,0.16412368,0.17289144,0.23021178,0.24231015,0.1725735,0.167808,0.17087358,0.19950616,0.20982794,0.17657845,0.15206547,0.20720257,0.09782956
sacai,fall-2018-menswear,56,0.16942286,0.24077448,0.19893022,0.1730417,0.20468508,0.15187977,0.17077254,0.17113602,0.18488514,0.18299566,0.25203168,0.20213035,0.16374204,0.12875529,0.14099617,0.18755497,0.16745715,0.21562147,0.17761287,0.21316065,0.21623312,0.2441467,0.20078059,0.19643448,0.19441465,0.19023465,0.20034707,0.17914096,0.1491296,0.20791902,0.10273074
